date,value
2023-09-01,1999961.57
2023-09-04,2020865.57
2023-09-05,2009305.57
2023-09-06,2004575.57
2023-09-07,1980303.57
2023-09-08,1978924.57
2023-09-11,1985810.57
2023-09-12,1986498.57
2023-09-13,1974589.57
2023-09-14,1975244.57
2023-09-15,1975096.57
2023-09-18,1967856.57
2023-09-19,1966498.57
2023-09-20,1956228.57
2023-09-21,1937434.57
2023-09-22,1963767.57
2023-09-25,1953296.57
2023-09-26,1948795.57
2023-09-27,1948778.57
2023-09-28,1948004.57
2023-10-09,1951918.87
2023-10-10,1945649.87
2023-10-11,1955656.87
2023-10-12,1971017.87
2023-10-13,1957867.87
2023-10-16,1938245.87
2023-10-17,1947991.87
2023-10-18,1929828.87
2023-10-19,1906371.87
2023-10-20,1895806.87
2023-10-23,1867986.87
2023-10-24,1877886.87
2023-10-25,1884787.87
2023-10-26,1876305.87
2023-10-27,1902222.87
2023-10-30,1908566.87
2023-10-31,1899782.87
2023-11-01,1901695.87
2023-11-02,1901458.87
2023-11-03,1915580.87
2023-11-06,1940776.87
2023-11-07,1939334.87
2023-11-08,1942687.87
2023-11-09,1944814.87
2023-11-10,1932382.87
2023-11-13,1942191.87
2023-11-14,1946949.87
2023-11-15,1964401.87
2023-11-16,1950167.87
2023-11-17,1944608.87
2023-11-20,1950747.87
2023-11-21,1949071.87
2023-11-22,1929737.87
2023-11-23,1940922.87
2023-11-24,1931294.87
2023-11-27,1924006.87
2023-11-28,1924169.87
2023-11-29,1911112.87
2023-11-30,1910480.87
2023-12-01,1912239.87
2023-12-04,1905352.87
2023-12-05,1880662.87
2023-12-06,1886206.87
2023-12-07,1877871.87
2023-12-08,1890500.87
2023-12-11,1903044.87
2023-12-12,1910447.87
2023-12-13,1895995.87
2023-12-14,1895283.87
2023-12-15,1887146.87
2023-12-18,1878601.87
2023-12-19,1883439.87
2023-12-20,1875229.87
2023-12-21,1879189.87
2023-12-22,1878815.87
2023-12-25,1877389.87
2023-12-26,1872636.87
2023-12-27,1878126.87
2023-12-28,1906310.87
2023-12-29,1907796.87
2024-01-02,1900871.29
2024-01-03,1892631.29
2024-01-04,1886910.29
2024-01-05,1872163.29
2024-01-08,1848562.29
2024-01-09,1858572.29
2024-01-10,1854016.29
2024-01-11,1867154.29
2024-01-12,1862245.29
2024-01-15,1861864.29
2024-01-16,1865448.29
2024-01-17,1826104.29
2024-01-18,1843764.29
2024-01-19,1837625.29
2024-01-22,1810205.29
2024-01-23,1821605.29
2024-01-24,1842195.29
2024-01-25,1867408.29
2024-01-26,1860405.29
2024-01-29,1841647.29
2024-01-30,1822294.29
2024-01-31,1795853.29
2024-02-01,1794165.29
2024-02-02,1782283.29
2024-02-05,1776681.29
2024-02-06,1833536.29
2024-02-07,1857636.29
2024-02-08,1875584.29
2024-02-19,1890258.29
2024-02-20,1888706.29
2024-02-21,1895307.29
2024-02-22,1914903.29
2024-02-23,1924008.29
2024-02-26,1910668.29
2024-02-27,1933536.29
2024-02-28,1911604.29
2024-02-29,1935780.29
2024-03-01,1954760.29
2024-03-04,1962630.29
2024-03-05,1956801.29
2024-03-06,1955567.29
